Source_Pincode,Destination_Pincode,Number_of_Days
670334,305627,2
400086,486886,3
221101,793018,3
307025,173024,2
606808,444201,3
628903,712311,4
533249,731243,6
506144,144508,4
507170,522316,3
262528,396145,5
185233,516505,2
822114,743384,3
172108,389240,5
732209,641004,4
402308,403006,3
303338,638008,6
690542,271902,2
304801,262544,3
609605,607002,6
271830,283141,5
313322,635754,5
784523,304001,3
713154,362560,6
678591,332715,6
600031,176302,2
516203,754005,6
680724,768211,4
756041,508284,5
713342,605502,3
400077,471516,5
695587,311806,2
224225,125044,5
272177,625528,3
713371,222204,3
768002,132103,6
783371,176203,5
721159,394330,3
802160,244255,3
524239,494347,2
496665,507124,4
208009,686020,4
781040,382630,6
722140,678682,5
441806,273305,6
623608,224122,3
360405,761004,6
233303,284403,3
312616,495552,5
713346,606115,6
423403,682019,4
415621,846001,6
173101,685581,2
700075,144025,3
226201,801111,5
382463,793014,5
734004,272199,6
754218,600094,3
325218,482021,2
735220,246428,4
628151,431723,3
688005,829118,5
712612,624601,5
676105,462027,5
828103,414603,3
442501,401401,4
761011,342304,5
691540,628101,6
342003,335705,4
383235,802211,3
623518,802221,3
814165,424105,3
581195,204216,4
518468,788713,6
784180,263158,2
623503,673615,5
403516,176208,6
682004,333304,5
494665,176022,2
845457,441807,2
522307,403204,5
523335,342007,3
335073,606701,4
686019,152115,5
531105,605202,5
392025,201201,6
638109,841215,6
470228,261203,2
328027,322216,2
495668,502130,3
175138,422113,2
275205,425302,4
481117,816110,3
124303,679123,3
277123,247772,4
713216,764049,4
781347,577122,5
753004,444907,3
629178,788110,2
802208,363530,4
791119,176063,2
743122,854338,3
483770,700053,5
736131,385530,3
614810,532484,6
382810,781311,6
431521,274206,3
580008,226017,4
581351,176097,2
680618,797117,4
202122,444312,6
793106,508210,3
800017,141119,4
532263,491229,6
628302,305003,4
626124,424202,2
400031,517125,4
131409,690516,2
444813,759027,3
829130,521356,4
250626,612904,6
612602,508246,4
396055,580009,4
517571,524127,2
110062,362001,4
534199,700143,2
737107,361009,6
396433,273403,3
244301,855108,6
523332,176201,5
678512,202145,5
518101,263638,4
695012,624706,4
625109,844116,6
621103,325203,6
781024,190020,5
110076,152032,3
628003,755025,5
411004,245301,6
472246,411017,6
722154,785601,5
301027,752113,6
683545,811309,3
700023,585104,5
517124,586217,2
782462,171203,6
442501,560018,2
614904,142040,6
682312,509311,4
535578,742140,3
627426,387002,3
140108,311024,6
731303,476355,3
229307,638701,3
685535,604151,6
456221,331304,4
721144,764076,2
829209,764002,6
636803,174032,3
828105,201007,3
440006,627857,6
785663,125052,5
848210,229410,2
229406,834002,3
263661,622408,6
509412,136131,2
345021,630006,4
276131,202155,3
423203,515870,4
224117,503202,4
628003,712122,5
534240,140602,5
335037,793014,3
281122,141109,2
821306,824236,4
508250,497449,5
621704,387320,4
246735,244231,4
637204,415401,4
284128,522529,5
686584,814165,3
176310,631206,3
272181,835303,3
370001,249410,5
413504,110090,4
689691,209732,3
401106,495442,3
756111,573144,5
799289,531077,3
370670,700127,5
223225,802112,2
246124,756029,5
845107,383250,6
482020,584135,4
277209,360311,5
403102,802136,6
585220,441907,3
770035,636452,2
600017,805122,2
224152,690526,4
637019,502324,2
410205,572134,3
695032,182148,4
243505,362520,2
811317,532443,3
383335,563138,2
516360,602025,4
735135,533222,5
392150,721129,4
443304,304507,6
403601,713128,3
533252,521328,3
343039,632008,2
795116,521133,2
673611,203412,2
124106,847306,3
531025,229203,4
671326,822128,2
843317,691521,4
480334,683514,2
202140,343040,6
571606,390001,6
531020,535463,5
626121,516115,3
560026,321022,4
344026,803211,5
682558,246172,6
695583,670661,2
311803,507303,3
244255,515144,6
591242,683514,2
721449,493229,3
767048,686536,4
413217,713169,5
244402,761006,4
560084,364765,4
395012,712245,6
530051,607302,6
533253,387305,5
503206,416214,5
700098,365455,5
473990,609313,5
250005,244713,3
743503,700124,4
803119,516444,3
632521,389260,6
671542,312022,4
804419,207401,6
247663,560038,2
796290,271904,2
591240,144515,2
721507,515661,3
571432,248014,2
466118,784144,3
461223,614802,5
854333,577598,4
695017,754082,5
841210,752019,2
574101,757034,5
380021,829207,2
332030,495552,2
600028,416410,4
670675,583224,3
396007,680501,6
262534,177006,3
625582,785674,6
581332,604102,4
122101,192123,3
431720,816106,3
560035,802212,4
673122,393151,5
518333,680651,5
485226,754240,5
812002,833202,5
680617,400070,6
482008,581332,5
670581,638181,4
679562,814167,2
422501,781330,2
415604,732214,4
713519,144402,2
689642,638111,3
127042,226020,6
172002,787061,4
570004,507306,4
606908,571119,3
688007,792122,5
121101,144529,2
736208,272152,6
520015,517235,5
622003,532264,2
851117,224171,2
723101,847225,6
533308,263680,5
713425,388110,3
781314,232101,2
673502,125052,6
345024,841301,3
781335,577427,6
843118,679551,5
271123,456443,5
431541,458771,5
207120,798621,4
713142,370511,3
400082,394190,4
493889,515413,3
273157,481117,3
247664,742174,2
571102,506314,3
396436,721446,5
360002,502130,5
441212,741165,3
533216,736167,3
344031,212401,5
571231,786622,3
624618,232103,4
171217,110069,6
460225,700044,2
753006,641664,4
643220,482004,5
142045,246277,3
678632,535501,5
416508,713170,3
799102,387115,3
361003,262309,6
683545,686581,4
759023,413208,4
243302,803301,3
583137,509408,2
762018,483501,6
535161,627753,6
625501,360421,4
637003,491559,4
506344,304023,4
244701,682553,3
788109,274409,6
175048,370610,3
450119,143502,6
591239,144104,5
192212,472447,5
171219,751004,5
522437,770042,2
274808,335502,3
516163,844122,4
781352,600004,2
721458,493889,4
732150,623522,3
690101,814152,3
627416,277209,5
832402,629204,2
176048,609102,2
522438,274407,2
502290,226006,6
572128,414002,2
753007,523301,6
854115,686610,5
230124,334001,5
744112,284003,6
711312,472221,4
811311,610001,2
389180,360576,6
632317,313605,6
841411,586128,4
581106,382130,6
472331,636307,6
688505,635002,4
608901,204213,5
695563,759102,5
632520,574214,5
606707,444805,2
403722,743331,6
144044,604151,6
742238,387340,2
364110,133206,2
576218,516431,3
686521,522626,3
848132,722133,3
760007,175010,4
577532,577417,6
171013,530029,4
686520,788725,3
848209,421301,4
676303,282005,5
581351,626121,2
607101,518005,3
625503,209729,6
841101,755011,2
303009,722148,3
845301,625601,5
322205,855113,5
441102,241402,3
412805,504312,5
577512,847213,5
262547,628614,3
522612,522510,4
522437,416402,4
481778,625014,4
841203,225126,3
132115,132023,6
764055,416310,2
230126,524307,3
431001,629101,3
854107,722149,3
751005,415415,4
182141,412202,2
686518,625534,6
686141,384340,2
571116,844120,5
492001,394620,5
222203,680003,6
824216,851217,6
262525,798627,3
212502,638661,4
389152,444706,4
403526,360311,6
756115,713373,4
586206,485111,6
643219,799263,2
604307,144804,6
759146,444402,2
202282,530003,2
635207,483334,3
143009,682506,3
177220,262530,6
682016,825167,4
577427,413253,4
400017,641003,4
221314,601206,2
224119,391346,2
431137,676523,2
321410,517130,4
721652,828131,5
828126,635702,6
246165,532462,2
413213,723129,2
743355,123103,3
630105,210421,4
621011,609101,5
700067,144020,4
246113,411045,5
829133,609310,4
322240,246426,2
733121,700118,2
673529,410515,4
141003,800002,5
689541,232327,4
723168,680571,3
766110,583124,6
415528,630559,2
828201,209301,6
626109,410401,4
530004,412410,4
737107,613203,5
686021,203399,6
781307,451666,5
781319,827014,3
494336,143118,2
604407,380005,3
604304,495661,6
534250,413223,4
225002,683587,6
606203,457893,6
415801,384210,4
783330,413107,5
416012,583224,2
591173,795139,2
721167,515154,4
247663,700069,5
221314,410512,2
125050,471111,6
574111,682032,6
323302,132117,3
620024,523180,4
577436,686542,6
587314,583136,6
224205,303004,6
563126,509381,2
534156,585326,6
754245,686561,5
221010,370665,4
395008,785673,5
758001,577426,5
273203,762017,3
731102,121008,6
688533,494230,5
591125,247671,4
600031,230201,5
125053,506329,6
683104,600047,4
312203,462013,3
400088,609201,5
121003,731101,6
176309,713409,2
304502,786007,2
110032,306023,5
766103,627814,6
581325,679554,4
600086,796111,5
824124,403104,4
413713,392110,5
524227,600028,5
571603,796091,4
575014,757102,2
843121,275302,3
144702,171001,4
741126,412804,5
388550,413305,4
628101,486888,3
175131,570012,6
483334,125075,4
533291,506303,3
314001,221713,6
600078,732211,2
250103,577427,2
326023,734226,5
573212,844125,6
796181,787051,2
388421,632603,3
500082,680616,4
508284,144104,3
721161,144515,4
403708,226004,4
573113,177201,3
431134,686106,5
184104,324002,3
172028,142032,2
689543,713209,4
688501,400064,5
515711,700066,5
262533,396171,3
686535,362730,6
741255,209721,4
534176,614723,4
783349,638661,5
203132,682307,5
788116,365620,2
574233,277213,6
476554,313802,2
783389,535546,5
607002,712149,6
276205,743134,2
505472,314032,4
206245,782124,6
303104,202137,4
577431,622502,3
700050,577006,2
141417,344704,5
421302,209871,3
312023,492005,5
700039,464993,4
303327,225203,3
508374,700004,4
229301,364120,5
638005,275101,2
523201,524308,2
490021,173030,5
734434,781009,3
752120,638452,2
713422,783348,6
457993,603101,6
797111,421301,2
689520,126114,4
504218,754110,2
413212,411060,3
141006,533431,5
209870,685585,2
825406,110063,6
636014,221010,5
461228,614711,4
176037,411022,4
796261,444106,6
756035,670701,2
784170,575030,2
754220,673620,3
851212,144702,5
635810,342028,3
452003,851116,4
495116,244302,5
250621,682001,4
211014,534450,3
221106,627116,6
201012,388210,4
